store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
TIRES PLUS 7199 STANLEY,745344,15817 METCALF AVE,,OVERLAND PARK,KS,66223-3001,United States,9134024385,38.843353,-94.667627,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,343718,1200 W SANTA FE ST,,OLATHE,KS,66061-3196,United States,9137641403,38.883736,-94.837995,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,327692,1912 W FOXWOOD DR,,RAYMORE,MO,64083-9371,United States,8163189371,38.81257,-94.488205,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Shawnee Auto Center,325519,6590 Vista Ave.,,Shawnee,KS,66218-9240,United States,9134225388,39.01007,-94.81768,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,24430,987 N MAIN ST,,PROVIDENCE,RI,02904-5745,United States,4015216622,41.848428,-71.404006,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,19534,510 TAUNTON AVE,,EAST PROVIDENCE,RI,02914-1615,United States,4014382180,41.821336,-71.360254,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,14966,95 HIGHLAND AVE,,SEEKONK,MA,02771-5805,United States,5083363016,41.802044,-71.33691,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,14931,1689 POST RD,,WARWICK,RI,02888-5900,United States,4017323141,41.734944,-71.435401,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,14702,400 BALD HILL RD,,WARWICK,RI,02886-1517,United States,4017381661,41.726389,-71.479936,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,349475,46 WASHINGTON ST,,ATTLEBORO,MA,02703-0000,United States,5083997121,41.92979,-71.353464,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,20893,782 GAR HWY,,SWANSEA,MA,02777-4590,United States,5086786380,41.749207,-71.213794,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,755851,22 DOWLING VILLAGE BLVD,,NORTH SMITHFIELD,RI,02896-0000,United States,4017660233,41.97442,-71.508072,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
